,number,first_name,last_name,gender,birth_date,employment_status,annual_salary,tax_file_no
0,483,Lenord,Kihn,M,1994-07-01,,64598.0,
1,478,Palma,Beahan,F,1972-05-06,PE,124103.0,
2,348,Hebert,Muller,M,1990-09-04,PE,100324.0,
3,757,Virginia,Ullrich,M,1991-09-23,PE,144957.0,
4,937,Roby,Hudson,M,1997-01-15,,137659.0,
5,264,Jaeda,Effertz,,1994-03-21,PE,131924.0,
6,165,Jalissa,Bogisich,F,1974-01-07,PE,101133.0,
7,211,Lexie,Robel,M,1997-09-05,,106595.0,
8,510,Billy,Reilly,M,1977-04-30,,75300.0,
9,940,Marlana,Moen,F,1979-05-05,CA,140611.0,
10,175,Aja,Lynch,M,1986-08-21,PE,69271.0,
11,772,Jabez,McLaughlin,M,1971-01-12,PE,141535.0,
12,950,Adrienne,Stokes,F,1982-07-28,CA,97453.0,
13,906,Florene,O'Connell,M,1979-04-03,PE,133971.0,
14,325,Migdalia,Sauer,M,1992-08-24,PE,144271.0,
15,194,Ace,Upton,,1987-08-25,PE,120120.0,
16,493,Jelani,Quitzon,M,1991-03-20,PE,93442.0,
17,901,Nikki,D'Amore,,1985-08-09,CA,108287.0,
18,712,Yahir,Kertzmann,F,1970-10-27,,95140.0,
19,936,Marsha,Ledner,F,1982-12-23,PE,143806.0,
20,327,Amarion,Larkin,M,1987-06-28,PE,145321.0,
21,431,Maynard,Zieme,,1982-10-12,PE,76354.0,
22,542,Mat,Nienow,F,1995-06-14,,141463.0,
23,78,Brannon,Goldner,F,1985-04-09,PE,72290.0,
24,90,Zilpha,Kreiger,F,1980-07-21,,91584.0,
25,855,Carla,Witting,F,1977-02-07,PE,96996.0,
26,621,Saint,Hayes,F,1993-08-09,,128053.0,
27,948,Gerry,Kunze,F,1990-11-21,,110341.0,
28,232,Urijah,McClure,F,1971-04-29,TE,105555.0,
29,377,Malcolm,Schmitt,M,1974-03-30,PE,59482.0,
30,458,Desmond,Pfeffer,F,1970-04-07,CA,72361.0,
31,171,Hope,Zboncak,F,1989-07-18,PE,109051.0,
32,163,January,Balistreri,F,1995-10-26,,63802.0,
33,409,Brionna,Block,F,1973-04-17,,55607.0,
34,88,Zain,Franecki,F,1972-11-03,PE,141171.0,
35,927,Jaelynn,Corkery,F,1999-10-21,PE,136524.0,
36,397,Millicent,Moen,M,1983-03-15,PE,116407.0,
37,289,Jeryl,Lesch,F,1971-05-24,PE,144888.0,
38,307,Percival,Flatley,F,1982-12-11,PE,67961.0,
39,982,Riley,Orn,,1978-01-09,PE,82041.0,
40,679,Katelin,Huels,M,1996-12-17,PE,65039.0,
41,700,Jaiden,Hirthe,M,1970-09-26,CA,62770.0,
42,911,Hildred,McKenzie,M,1970-03-23,PE,98515.0,
43,428,Mansfield,Mosciski,,1986-03-22,PE,135099.0,
44,609,Alana,Gaylord,F,1976-10-27,,71825.0,
45,442,Kyrie,Sanford,M,1992-04-15,PE,75514.0,
46,238,Addison,Sanford,,1977-09-20,CA,111234.0,
47,969,Marget,West,M,1979-10-11,PE,79230.0,
48,245,Gladis,Yost,,1996-12-30,PE,74821.0,
49,72,Laisha,Collier,F,1981-10-23,PE,131899.0,
50,829,Shade,Runte,M,1991-11-08,PE,56935.0,
51,900,Kate,Blick,F,1975-05-10,CA,90927.0,
52,586,Barton,Stokes,F,1991-05-10,PE,97214.0,
53,482,Anibal,Dare,M,1986-05-23,TE,149219.0,
54,932,Lucia,Bogan,M,1994-10-27,PE,137985.0,
55,337,Omar,Beier,M,1977-01-22,,125879.0,
56,561,Kari,Conn,F,1980-01-19,,58570.0,
57,22,Rashawn,Wyman,M,1995-05-06,,56155.0,
58,357,Darby,Herzog,M,1980-05-24,CA,72575.0,
59,990,Maryellen,Stanton,,1993-09-26,PE,80038.0,
60,151,Ephram,Lindgren,M,1994-12-10,CA,130053.0,
61,629,Broderick,Mills,F,1986-04-25,PE,104727.0,
62,725,Lance,Ratke,M,1979-08-03,PE,84832.0,
63,349,Kamora,Bednar,,1988-07-24,PE,72137.0,
64,241,Jaclyn,O'Connell,F,1993-01-30,PE,126787.0,
65,845,Kayleen,Hodkiewicz,F,1986-05-29,,58755.0,
66,194,Trilby,Hartmann,F,1979-01-11,PE,118209.0,
67,429,Ernie,Harber,M,1997-10-15,PE,70102.0,
68,38,Duke,Krajcik,M,1977-09-29,PE,136383.0,
69,687,Columbia,Pacocha,F,1994-10-04,PE,129147.0,
70,928,Furman,Kiehn,F,1974-01-03,,59444.0,
71,914,Phylicia,Gerlach,,1996-12-18,CA,146603.0,
72,840,Vassie,Turcotte,F,1999-05-22,PE,138513.0,
73,655,Trey,Conn,F,1978-04-21,PE,118809.0,
74,143,Ilo,Mohr,F,1985-01-08,PE,106096.0,
75,309,Wilfred,Willms,M,1998-07-19,,108311.0,
76,638,Crockett,Zieme,,1978-08-25,PE,86551.0,
77,156,Armstead,O'Kon,F,1984-08-07,PE,75042.0,
78,516,Chuck,Watsica,M,1984-02-24,,135153.0,
79,138,Nannette,Wintheiser,,1985-10-05,PE,124371.0,
80,845,Shellie,Zboncak,M,1988-08-27,PE,80332.0,
81,312,Rylie,Bode,M,1978-03-05,PE,146229.0,
82,971,Phebe,Turcotte,F,1988-08-07,,141422.0,
83,420,Judi,Daugherty,F,1980-07-23,PE,56124.0,
84,442,Lavon,Kunze,M,1991-05-29,PE,86608.0,
85,745,Norine,Bode,,1994-10-02,,112224.0,
86,592,Camisha,Casper,,1994-07-02,,59113.0,
87,144,Stanford,Roberts,,1996-11-14,PE,147941.0,
88,850,Jeffry,Kreiger,M,1983-04-07,PE,79429.0,
89,754,Elige,Rempel,M,1976-12-11,PE,84343.0,
90,444,Justus,Ullrich,M,1981-01-17,TE,90633.0,
91,657,Juana,Russel,F,1991-07-08,,142237.0,
92,835,Zelia,Lakin,M,1989-07-02,CA,125912.0,
93,503,Socorro,Barrows,M,1976-08-06,PE,135162.0,
94,287,Jory,Tromp,F,1985-06-06,PE,133805.0,
95,463,Ellison,Bednar,F,1984-03-10,PE,81377.0,
96,355,Theodis,Ruecker,F,1990-06-28,PE,126923.0,
97,829,Halley,Armstrong,M,1972-07-15,PE,96508.0,
98,130,Merwin,O'Keefe,,1981-09-07,TE,95193.0,
99,185,Quint,Halvorson,M,1978-11-24,TE,56029.0,
100,527,Terrance,Schroeder,F,1989-06-02,PE,76154.0,
101,850,Darryle,Stracke,,1978-06-03,TE,77865.0,
102,763,Effa,Senger,F,1974-07-24,TE,143664.0,
103,45,Tilman,Welch,F,1973-05-24,PE,114153.0,
104,45,Manilla,Daniel,M,1980-07-06,,89318.0,
105,88,Gustie,Feest,M,1976-12-29,PE,130311.0,
106,202,Brandon,Yost,F,1993-01-22,PE,84858.0,
107,327,Byrd,Wintheiser,M,1983-11-01,PE,62026.0,
108,373,Alize,Murazik,F,1972-04-08,,119571.0,
109,663,Rae,Wolf,,1998-01-13,,98996.0,
110,102,Ramona,Reichert,F,1977-02-26,PE,116332.0,
111,249,Elmer,Reichert,M,1978-04-09,PE,84094.0,
112,958,Chantel,Shanahan,M,1992-05-22,PE,72408.0,
113,293,Rob,Hagenes,M,1997-01-27,TE,73762.0,
114,221,Devonte,Erdman,M,1985-09-15,PE,59567.0,
115,105,Lucetta,Kemmer,M,1980-03-22,PE,72335.0,
116,387,Ellsworth,Carter,M,1979-07-24,TE,138540.0,
117,443,Tristin,Shields,F,1980-08-25,PE,97981.0,
118,683,Wesley,Wiza,F,1989-06-07,PE,68935.0,
119,144,Gavin,Kuhic,M,1985-09-20,PE,132542.0,
120,583,Camila,Tillman,M,1977-04-03,PE,99941.0,
121,504,Dorla,Stark,M,1998-08-14,,134767.0,
122,937,Emeline,Klocko,F,1975-05-29,PE,68156.0,
123,455,Isamar,Grimes,M,1991-10-10,TE,113122.0,
124,303,Dennis,Cole,M,1993-04-16,,147018.0,
125,66,Ott,Huels,M,1991-07-17,,106909.0,
126,813,Rudolf,Paucek,F,1972-03-07,,110663.0,
127,51,Fleda,Botsford,M,1989-01-14,PE,77949.0,
128,648,Luella,Tromp,M,1970-01-24,PE,55559.0,
129,911,Landen,Predovic,F,1988-06-21,CA,125038.0,
130,991,Malvina,Cole,F,1971-09-25,PE,66400.0,
131,301,Garrison,Schulist,M,1982-10-14,PE,109871.0,
132,622,Dakotah,Kirlin,M,1976-11-05,PE,93349.0,
133,104,Cephus,Botsford,M,1986-09-11,PE,84377.0,
134,31,Syreeta,Altenwerth,M,1999-08-28,PE,117554.0,
135,828,Magdalena,Reichert,M,1993-09-02,PE,55366.0,
136,728,Matie,Lubowitz,F,1984-04-27,PE,119788.0,
137,763,Kiara,Gerlach,M,1984-11-26,,108015.0,
138,360,Jasmin,Willms,F,1982-08-27,PE,126649.0,
139,483,Desirae,Frami,F,1982-07-08,PE,105702.0,
140,1,Kitty,Ruecker,F,1976-07-24,PE,90613.0,
141,512,Cordell,Rempel,F,1995-04-10,PE,120924.0,
142,41,Gladyce,Kovacek,F,1993-05-24,PE,110498.0,
143,102,Stacey,Rice,F,1975-02-13,TE,109856.0,
144,64,Marcello,Yost,M,1995-04-15,PE,59985.0,
145,569,Angella,Harvey,F,1988-01-21,CA,77758.0,
146,610,Sidney,Johnson,F,1990-12-12,PE,141549.0,
147,12,Efrain,Harber,,1995-01-26,,57029.0,
148,709,Loula,Botsford,F,1995-01-19,,100518.0,
149,196,Ebb,Thiel,M,1982-10-19,PE,142036.0,
150,486,Gorden,Vandervort,F,1977-10-25,PE,147202.0,
151,350,Maci,Hilll,F,1996-11-23,,124359.0,
152,222,Goldia,Kulas,F,1977-09-22,PE,145125.0,
153,446,Warren,Corkery,F,1990-02-09,PE,70914.0,
154,290,Frieda,Barrows,M,1981-09-27,PE,130890.0,
155,784,Vernie,Mann,,1994-01-02,,92651.0,
156,360,Myles,Ritchie,M,1979-01-19,,69366.0,
157,686,Harvy,Schmeler,,1982-05-16,PE,136674.0,
158,430,Jaylynn,Kerluke,M,1997-10-09,PE,130936.0,
159,867,Vicente,Veum,,1971-04-14,PE,98806.0,
160,921,Odis,Stracke,,1982-05-06,TE,86325.0,
